,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
52,hsa-miR-1197,0,25,24,19,54,43,12,0,0,0,0,0,0,0,0,0,0,0,0,11
53,hsa-miR-1199-3p,0,70,29,34,160,157,31,40,10,11,0,0,0,0,11,0,0,0,0,0
54,hsa-miR-1199-5p,50,260,281,301,134,111,11,0,10,24,11,30,22,12,19,0,18,66,21,15
55,hsa-miR-1200,78,118,123,108,212,201,22,20,0,15,13,0,0,0,10,0,0,27,0,0
56,hsa-miR-1202,13,54,65,68,73,61,0,13,0,0,0,0,0,0,0,12,0,16,0,0
57,hsa-miR-1203,18,119,49,89,119,169,23,18,21,0,13,0,0,0,10,0,0,17,0,0
58,hsa-miR-1204,13,23,13,11,46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,hsa-miR-1205,0,10,14,17,50,64,0,10,0,0,0,0,0,0,0,0,0,0,0,0
60,hsa-miR-1206,0,25,14,21,65,53,0,0,0,0,0,0,0,0,14,0,0,0,0,0
61,hsa-miR-1207-3p,0,72,32,27,48,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,hsa-miR-1207-5p,0,12,27,39,102,68,27,22,10,0,0,0,0,0,11,0,0,19,0,0
63,hsa-miR-1208,19,37,51,35,112,115,0,0,0,0,21,54,85,11,104,16,30,32,81,85
64,hsa-miR-122-3p,10,29,42,43,82,108,29,0,17,38,38,0,0,0,0,0,0,0,0,0
65,hsa-miR-122-5p,13568,45592,23909,43173,18323,48306,70452,3282,42264,149723,145329,483,79,672,3382,6889,106,3290,830,1235
66,hsa-miR-1224-3p,10,43,42,38,84,113,16,0,0,0,0,11,0,0,19,0,0,26,11,20
67,hsa-miR-1224-5p,175,108,159,79,238,231,25,23,21,23,10,63,11,0,21,16,57,69,150,74
68,hsa-miR-1225-3p,14,59,68,70,65,86,0,0,15,0,0,0,0,0,0,0,0,0,0,0
69,hsa-miR-1225-5p,13,60,35,69,129,164,0,0,0,0,0,0,0,0,0,0,0,26,0,0
70,hsa-miR-1226-3p,11,19,27,22,74,84,11,0,0,0,0,24,16,40,21,0,13,14,0,0
71,hsa-miR-1226-5p,11,33,20,54,45,55,0,0,0,0,0,0,0,0,0,0,0,14,0,0
72,hsa-miR-1227-3p,14,35,32,19,57,63,0,19,0,0,0,0,0,0,0,0,0,0,0,0
73,hsa-miR-1227-5p,62,32,27,31,56,69,10,0,0,0,0,0,0,0,0,0,0,10,0,0
74,hsa-miR-1228-3p,0,74,25,26,62,59,0,0,0,0,0,0,12,0,0,0,0,17,0,0
75,hsa-miR-1228-5p,0,31,19,20,48,93,0,0,11,0,20,0,0,0,0,0,0,51,0,0
76,hsa-miR-1229-3p,16,129,111,122,41,55,0,0,0,0,0,0,0,0,13,0,0,21,11,0
77,hsa-miR-1229-5p,25,159,49,76,181,204,25,27,24,0,0,0,0,0,0,0,0,18,0,0
