,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
587,hsa-miR-3170,212,194,233,204,194,139,36,34,46,35,21,0,0,0,14,13,0,29,0,0
588,hsa-miR-3171,13,31,34,45,83,82,11,0,0,16,0,0,0,0,0,0,0,0,0,0
589,hsa-miR-3173-3p,0,19,25,22,105,118,13,0,0,0,0,0,0,0,13,0,0,18,0,0
590,hsa-miR-3173-5p,26,45,57,43,114,136,0,36,0,11,0,11,0,13,24,13,12,20,0,0
591,hsa-miR-3174,10,28,39,50,128,128,22,0,19,0,0,20,14,17,39,17,10,29,10,20
592,hsa-miR-3175,0,45,34,51,158,202,39,28,15,0,0,34,82,11,248,77,96,12,116,374
593,hsa-miR-3176,17,81,98,59,178,210,0,0,13,0,10,0,0,21,33,0,0,24,0,28
594,hsa-miR-3177-3p,0,25,22,28,61,75,13,18,0,0,14,0,0,0,0,0,0,12,0,0
595,hsa-miR-3177-5p,0,10,19,23,44,43,0,0,0,0,0,0,0,0,0,0,0,12,0,0
596,hsa-miR-3178,95,366,369,376,269,344,22,13,14,44,20,0,0,10,11,0,0,100,0,12
597,hsa-miR-3179,12,50,62,78,62,76,0,16,0,0,0,0,0,0,10,0,0,38,0,0
598,hsa-miR-3180,35,67,74,121,47,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,hsa-miR-3180-3p,0,43,31,32,59,57,0,0,0,0,0,0,0,0,0,0,0,36,0,0
600,hsa-miR-3180-5p,32,94,84,81,246,287,20,26,17,12,0,13,0,14,26,0,0,2493,10,14
601,hsa-miR-3181,34,118,140,156,102,110,39,0,0,15,0,0,0,10,0,0,0,83,19,0
602,hsa-miR-3182,187,730,717,1244,130,116,0,0,17,25,54,14,0,12,13,0,0,13,0,13
603,hsa-miR-3183,15,86,108,85,214,261,34,24,26,0,0,0,0,11,24,0,0,21,12,23
604,hsa-miR-3185,16,103,45,51,135,163,18,33,14,15,0,0,0,0,12,0,0,18,0,14
605,hsa-miR-3186-3p,17,82,28,27,127,122,10,15,0,0,0,0,0,0,0,0,0,12,0,0
606,hsa-miR-3186-5p,0,24,13,0,56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,hsa-miR-3187-3p,12,58,44,34,63,90,0,10,0,10,10,0,17,39,28,24,11,20,15,35
608,hsa-miR-3187-5p,50,47,39,55,148,174,0,0,11,0,0,0,0,0,0,0,0,10,0,0
609,hsa-miR-3188,26,116,126,140,148,207,0,0,0,19,0,0,0,0,14,0,0,0,12,0
610,hsa-miR-3189-3p,33,228,130,75,229,322,10,31,0,0,0,0,0,0,0,0,0,10,0,0
611,hsa-miR-3189-5p,12,39,37,45,85,101,0,0,0,0,0,0,0,0,0,0,0,20,0,0
612,hsa-miR-3190-3p,0,14,13,17,39,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,hsa-miR-3190-5p,43,70,54,59,302,287,38,0,0,16,0,0,0,0,0,0,0,17,0,11
614,hsa-miR-3191-3p,14,17,19,17,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,hsa-miR-3191-5p,17,36,44,42,184,211,13,53,0,0,0,0,0,0,12,0,12,14,0,0
616,hsa-miR-3192-3p,21,64,47,84,334,409,42,31,0,17,0,0,0,12,19,0,0,52,11,12
617,hsa-miR-3192-5p,17,84,55,44,130,133,0,0,19,15,12,0,0,0,12,0,0,18,0,0
618,hsa-miR-3193,16,55,46,49,119,512,0,21,10,12,0,12,0,0,13,0,0,15,0,0
619,hsa-miR-3194-3p,44,115,101,108,124,142,0,0,0,0,0,0,0,0,0,0,0,18,0,0
620,hsa-miR-3194-5p,0,16,11,27,35,41,0,0,0,0,0,0,0,0,0,0,0,22,0,0
621,hsa-miR-3195,26,74,54,71,82,123,0,0,0,0,14,15,26,24,10,28,49,85,128,60
622,hsa-miR-3196,18,78,62,82,130,207,18,0,0,0,0,0,0,0,13,0,11,399,19,0
623,hsa-miR-3197,14,96,59,89,88,222,0,0,0,0,0,0,0,13,0,0,0,14,10,0
624,hsa-miR-3198,23,83,64,69,145,194,13,10,0,0,0,0,0,0,11,11,0,22,0,12
625,hsa-miR-3199,0,24,19,27,108,98,14,0,0,0,0,0,24,13,23,0,0,14,0,0
626,hsa-miR-32-3p,0,11,0,0,32,25,0,0,0,0,0,11,22,0,23,0,13,0,0,12
627,hsa-miR-32-5p,38,103,133,161,132,204,0,16,17,0,0,1005,1340,543,967,658,1113,533,523,1069
628,hsa-miR-3200-3p,13,75,79,139,266,307,22,25,17,0,17,14,32,10,57,67,26,12,16,35
629,hsa-miR-3200-5p,54,127,138,159,72,82,0,12,22,0,0,0,0,0,0,0,0,25,0,0
630,hsa-miR-3201,0,22,19,19,40,57,0,0,0,0,0,0,0,0,11,0,0,0,0,0
631,hsa-miR-3202,14,42,30,27,117,122,0,11,0,0,263,0,0,0,32,0,0,18,0,0
632,hsa-miR-320a,1287,5323,5319,5935,4410,6030,301,102,148,218,337,6603,16030,5261,11617,3010,4372,1036,10590,7066
633,hsa-miR-320b,225,851,621,637,645,672,122,18,16,131,103,389,940,637,497,458,260,105,650,419
634,hsa-miR-320c,156,382,279,296,292,313,102,33,71,207,127,501,1048,2286,707,1303,361,420,762,560
635,hsa-miR-320d,39,210,82,131,189,187,50,20,0,41,52,144,448,325,191,268,144,38,329,239
636,hsa-miR-320e,25,119,130,68,300,368,25,20,16,35,15,20,88,46,28,67,13,12,44,40
637,hsa-miR-323a-3p,34,52,28,37,38,62,11,0,0,13,13,335,346,24,23,97,350,35,228,373
638,hsa-miR-323a-5p,102,296,438,252,116,134,11,0,0,10,23,0,0,0,10,0,0,13,0,0
639,hsa-miR-323b-3p,16,104,57,50,77,103,29,11,0,10,0,142,50,11,16,41,138,0,104,137
640,hsa-miR-323b-5p,29,72,65,105,181,197,23,39,0,13,15,11,10,0,38,0,0,10,21,32
641,hsa-miR-324-3p,44,127,154,169,175,307,21,16,0,17,0,184,267,54,246,133,113,50,153,182
642,hsa-miR-324-5p,115,499,578,443,309,420,40,14,16,19,43,207,436,181,791,735,371,70,425,591
643,hsa-miR-325,50,49,38,108,71,103,0,10,0,0,72,0,0,0,13,0,0,0,0,20
644,hsa-miR-326,34,110,150,98,176,275,40,22,11,0,0,95,134,37,291,49,66,46,91,111
645,hsa-miR-328-3p,352,470,675,417,291,781,134,33,72,63,93,363,252,101,242,113,94,33,58,94
646,hsa-miR-328-5p,25,145,173,161,125,178,0,13,0,0,12,10,0,0,18,0,0,13,0,0
647,hsa-miR-329-3p,17,57,51,60,130,190,17,0,0,0,0,97,160,0,0,29,32,0,49,41
648,hsa-miR-329-5p,33,119,122,90,116,126,22,17,24,14,20,17,11,0,15,0,11,17,0,13
649,hsa-miR-330-3p,26,27,22,37,52,62,0,14,0,0,0,48,88,76,99,55,26,46,19,24
650,hsa-miR-330-5p,41,236,233,388,84,104,0,11,12,23,19,45,134,106,129,74,43,28,37,39
651,hsa-miR-331-3p,27,109,298,195,107,127,22,0,0,15,12,216,521,287,1027,145,364,37,133,438
652,hsa-miR-331-5p,23,93,135,132,116,161,27,12,25,0,0,21,34,24,46,17,17,20,12,23
653,hsa-miR-335-3p,11,38,46,40,52,62,20,10,0,0,10,800,996,438,79,186,289,86,417,222
654,hsa-miR-335-5p,79,265,327,440,208,401,39,18,19,36,15,4922,10604,1322,2136,1427,2162,378,4142,3695
655,hsa-miR-337-3p,11,16,21,17,53,68,0,0,0,0,0,46,76,0,10,14,26,13,42,51
656,hsa-miR-337-5p,27,115,107,109,183,229,10,19,0,0,14,121,265,11,0,47,43,22,50,112
657,hsa-miR-338-3p,27,66,110,163,117,146,0,26,17,22,0,927,3549,403,728,751,793,659,1355,1609
658,hsa-miR-338-5p,48,187,201,177,71,110,15,19,0,25,0,16,592,70,25,124,27,18,19,24
659,hsa-miR-339-3p,52,164,172,117,231,274,0,13,0,23,12,408,803,369,403,236,292,168,519,536
660,hsa-miR-339-5p,99,336,317,264,198,313,45,19,14,10,62,2311,3611,1620,1926,1836,1165,238,1715,2735
661,hsa-miR-33a-3p,15,41,45,50,108,98,14,12,0,0,0,0,17,0,21,11,0,17,0,15
662,hsa-miR-33a-5p,0,33,63,48,83,70,0,54,13,0,0,16,72,0,13,13,0,0,0,13
663,hsa-miR-33b-3p,0,23,16,36,124,137,14,22,0,0,0,0,0,0,0,0,0,16,0,0
664,hsa-miR-33b-5p,0,63,27,37,64,54,0,19,0,0,0,0,0,0,0,0,0,0,0,0
665,hsa-miR-340-3p,0,25,33,36,66,86,0,0,0,0,0,13,33,12,49,0,23,0,11,0
666,hsa-miR-340-5p,46,73,173,259,262,363,36,34,0,0,29,2445,5934,1493,8009,1789,2929,454,1987,3012
667,hsa-miR-342-3p,1603,3622,4856,3290,2015,4754,1335,240,379,781,798,18560,21849,6302,13973,8951,9827,2694,4422,8668
668,hsa-miR-342-5p,18,31,50,35,52,61,0,0,0,0,15,87,106,26,136,120,137,33,115,160
669,hsa-miR-345-3p,0,33,21,44,115,110,10,0,0,0,0,0,0,0,11,0,0,11,12,0
670,hsa-miR-345-5p,36,100,176,160,181,226,32,0,22,0,29,295,686,212,753,378,359,90,549,809
671,hsa-miR-346,0,25,27,21,84,103,0,0,0,0,0,0,0,0,0,0,0,14,0,0
672,hsa-miR-34a-3p,0,63,20,31,48,40,0,0,18,0,0,10,53,0,162,0,0,0,0,17
673,hsa-miR-34a-5p,83,311,426,578,362,601,69,53,162,49,56,10800,28052,5448,151055,2915,5005,711,6553,11296
674,hsa-miR-34b-3p,28,82,107,98,114,88,10,22,25,17,0,68,108,0,318,17,15,10,0,27
675,hsa-miR-34b-5p,19,37,44,52,157,147,14,22,0,0,13,60,195,10,378,11,0,12,12,14
676,hsa-miR-34c-3p,36,74,95,138,155,140,17,21,24,11,16,107,148,12,479,22,14,79,0,24
677,hsa-miR-34c-5p,0,28,32,21,47,59,0,16,0,0,0,714,1977,102,5495,164,69,22,94,214
678,hsa-miR-3529-5p,12,31,36,29,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,hsa-miR-3591-5p,0,0,0,14,32,26,11,0,10,0,0,0,0,0,0,0,0,0,0,0
680,hsa-miR-3605-3p,116,204,140,142,381,391,69,35,28,35,20,143,133,71,235,40,34,27,12,46
681,hsa-miR-3605-5p,19,74,44,49,94,85,0,0,0,0,0,12,26,12,76,0,13,10,12,22
682,hsa-miR-3606-3p,0,31,32,29,42,40,0,14,0,0,0,0,0,0,0,0,0,0,0,0
683,hsa-miR-3606-5p,10,13,21,18,20,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0
684,hsa-miR-3607-3p,0,51,20,34,36,43,0,0,0,0,23,0,0,0,0,0,0,28,19,22
685,hsa-miR-3607-5p,0,30,11,23,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,hsa-miR-3609,60,120,107,99,113,132,37,24,0,0,0,0,27,92,17,155,16,269,12,45
687,hsa-miR-361-3p,146,266,515,279,232,331,152,31,47,138,77,2048,3174,863,4425,2337,1141,456,1440,2946
688,hsa-miR-361-5p,107,408,653,753,507,871,70,17,49,50,51,4229,8949,1934,6477,2134,2187,538,2081,2419
689,hsa-miR-3610,17,31,32,37,71,96,15,0,12,11,0,0,0,10,0,0,0,56,16,0
690,hsa-miR-3611,0,16,11,15,32,28,0,0,0,0,0,0,12,0,15,11,0,0,11,14
691,hsa-miR-3612,38,90,61,94,66,81,0,15,19,21,0,0,0,0,25,0,0,14,0,14
692,hsa-miR-3613-3p,78,345,171,196,852,963,117,146,48,29,16,15,41,15,70,15,10,21,31,23
693,hsa-miR-3613-5p,131,71,120,291,124,176,17,0,16,0,0,220,882,121,2148,245,498,108,357,549
694,hsa-miR-3614-3p,10,57,75,80,60,72,13,0,16,0,0,0,14,0,19,10,0,50,13,13
695,hsa-miR-3614-5p,11,25,18,32,65,75,0,15,0,0,12,0,0,0,25,0,0,22,10,14
696,hsa-miR-3615,214,730,1332,811,695,1058,343,100,163,158,138,204,178,464,227,127,167,227,80,131
697,hsa-miR-3616-3p,15,28,19,50,112,102,14,11,0,10,0,10,11,0,10,0,0,12,0,0
698,hsa-miR-3616-5p,0,15,11,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,hsa-miR-3617-3p,224,540,853,668,141,142,13,18,79,60,0,0,12,13,14,0,0,19,0,0
700,hsa-miR-3617-5p,17,38,33,35,58,60,0,0,13,10,0,12,15,38,0,0,11,0,0,0
701,hsa-miR-3618,16,34,44,51,58,97,0,0,0,0,0,0,0,0,10,0,0,0,0,0
702,hsa-miR-3619-3p,16,36,29,58,165,191,14,13,0,0,0,0,0,0,0,0,0,14,0,0
703,hsa-miR-3619-5p,0,55,40,39,75,135,0,25,0,11,0,0,0,0,0,0,0,15,0,0
704,hsa-miR-362-3p,23,100,62,86,60,96,0,0,0,0,0,38,141,0,59,36,21,22,91,78
705,hsa-miR-362-5p,21,96,64,69,221,747,16,0,13,0,0,212,484,34,326,88,73,55,265,187
706,hsa-miR-3620-3p,20,138,53,69,169,204,23,18,11,0,11,0,0,0,19,0,0,33,0,0
707,hsa-miR-3620-5p,0,18,18,26,47,56,0,14,0,0,0,0,0,0,0,0,0,12,0,0
708,hsa-miR-3621,32,50,31,18,135,121,22,10,0,0,0,0,0,0,0,0,0,45,0,0
709,hsa-miR-3622a-3p,0,17,31,25,75,87,0,15,0,11,0,0,0,0,0,0,0,14,0,11
710,hsa-miR-3622a-5p,0,38,10,91,89,69,12,16,0,0,0,0,0,0,0,0,0,70,0,12
711,hsa-miR-3622b-3p,47,105,129,204,236,249,16,11,11,0,11,0,0,0,10,0,0,20,0,0
712,hsa-miR-3622b-5p,0,15,21,14,24,24,0,0,0,0,0,0,0,0,0,0,0,14,0,0
713,hsa-miR-363-3p,45,351,746,428,822,610,43,28,12,17,28,149,368,34,629,24,224,176,238,250
714,hsa-miR-363-5p,181,501,532,403,345,313,36,62,87,54,16,0,0,0,10,0,0,12,0,0
715,hsa-miR-3646,13,86,21,18,91,84,11,0,11,0,0,0,0,0,12,0,0,13,0,0
716,hsa-miR-3648,19,264,76,56,143,153,10,0,0,18,0,0,0,0,0,0,0,101,0,0
717,hsa-miR-3649,79,206,178,217,516,814,53,31,30,29,19,0,0,0,0,0,0,17,0,0
718,hsa-miR-3650,0,37,46,34,31,34,0,12,0,0,0,0,0,0,11,0,0,14,0,0
719,hsa-miR-3651,48,71,96,71,231,188,10,37,12,13,0,0,0,0,10,0,0,16,0,0
720,hsa-miR-3652,16,81,48,86,115,118,13,14,16,0,0,0,0,0,0,0,0,16,0,12
721,hsa-miR-3653-3p,19,86,74,63,198,195,21,24,41,0,0,0,0,0,20,0,0,230,0,18
722,hsa-miR-3653-5p,17,147,180,84,160,247,16,19,16,0,0,10,13,10,18,0,10,30,0,10
723,hsa-miR-3654,43,142,149,179,123,102,15,12,16,13,33,0,0,0,0,0,0,24,0,0
724,hsa-miR-3655,12,40,42,51,60,81,0,21,25,16,0,0,0,0,0,0,0,46,0,0
725,hsa-miR-3656,16,65,58,66,129,133,13,14,0,0,0,0,0,0,22,0,55,1269,66,36
726,hsa-miR-3657,15,17,19,30,48,37,0,11,0,0,0,0,0,0,0,0,0,0,0,0
727,hsa-miR-3658,0,13,16,14,50,67,0,0,11,0,0,0,0,0,0,0,0,0,0,0
728,hsa-miR-3659,13,37,40,25,107,108,10,15,0,0,0,0,0,0,0,0,0,10,0,0
729,hsa-miR-365a-3p,15,56,45,50,58,111,37,0,16,23,0,367,1616,354,1265,134,502,30,467,547
730,hsa-miR-365a-5p,27,213,64,74,150,140,16,29,0,0,11,29,23,34,13,17,33,10,38,31
731,hsa-miR-365b-3p,17,81,73,77,51,138,18,0,23,44,12,450,2316,371,1604,88,385,27,392,436
732,hsa-miR-365b-5p,11,44,26,39,73,73,13,0,0,0,0,17,30,52,64,0,29,10,36,17
733,hsa-miR-3660,0,16,16,26,52,64,0,12,16,0,0,0,0,0,0,0,0,17,0,0
734,hsa-miR-3661,11,118,123,134,94,143,0,19,13,0,19,0,0,0,14,0,0,20,0,0
735,hsa-miR-3662,62,298,299,203,100,107,20,0,11,20,0,0,0,0,14,0,0,14,0,0
736,hsa-miR-3663-3p,12,67,80,76,67,56,0,14,12,0,0,0,0,11,13,0,0,43,0,10
737,hsa-miR-3663-5p,21,69,41,37,130,106,0,14,0,10,0,0,10,0,10,0,0,40,0,0
738,hsa-miR-3664-3p,0,39,16,10,67,64,0,0,0,0,0,0,0,0,13,0,0,10,0,0
739,hsa-miR-3664-5p,0,23,20,15,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,hsa-miR-3665,0,44,38,29,57,72,0,0,0,0,0,0,0,0,0,0,0,937,33,18
741,hsa-miR-3666,46,48,46,53,106,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,hsa-miR-3667-3p,18,126,124,130,161,113,12,0,0,0,0,0,0,12,28,0,0,18,21,16
743,hsa-miR-3667-5p,15,56,53,81,118,134,0,0,0,0,0,0,0,0,15,0,0,14,0,0
744,hsa-miR-3668,17,72,88,124,416,365,15,22,0,14,0,0,0,0,0,0,0,0,0,0
745,hsa-miR-3669,0,17,10,21,68,44,0,0,0,0,30,0,0,0,0,0,0,0,0,0
746,hsa-miR-367-3p,0,13,16,22,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,hsa-miR-367-5p,0,15,15,0,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,hsa-miR-3670,0,42,32,41,79,65,13,0,0,0,0,0,0,0,0,0,0,18,0,0
749,hsa-miR-3671,0,10,15,13,59,47,0,17,0,0,0,0,0,0,0,0,0,0,0,0
750,hsa-miR-3672,10,24,42,42,51,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0
751,hsa-miR-3673,0,17,15,38,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,hsa-miR-3674,23,30,42,26,67,69,10,27,18,0,11,11,11,0,0,0,0,0,0,0
753,hsa-miR-3675-3p,40,147,153,174,217,242,15,42,26,0,22,0,0,0,0,0,0,12,0,0
754,hsa-miR-3675-5p,16,26,28,29,35,49,0,0,0,0,0,0,0,0,0,0,0,18,0,0
755,hsa-miR-3677-3p,0,31,22,29,87,119,0,0,18,0,0,0,0,0,11,0,0,14,0,11
756,hsa-miR-3677-5p,0,20,29,20,83,105,0,0,13,0,0,0,0,0,0,0,0,18,0,0
757,hsa-miR-3678-3p,14,39,30,27,86,104,0,32,0,0,0,0,0,0,0,0,0,0,0,0
758,hsa-miR-3678-5p,0,68,30,43,87,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,hsa-miR-3679-3p,15,26,53,33,160,158,16,0,0,0,0,0,0,0,0,0,0,0,0,0
760,hsa-miR-3679-5p,11,32,37,19,62,77,10,16,0,0,0,18,16,38,29,14,16,15,12,22
761,hsa-miR-3680-3p,13,29,24,28,56,50,0,0,0,0,0,0,0,0,0,0,0,14,0,0
762,hsa-miR-3680-5p,10,140,16,20,47,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,hsa-miR-3681-3p,14,23,25,32,73,70,0,0,0,0,0,35,52,16,68,57,25,19,21,47
764,hsa-miR-3681-5p,12,39,27,25,90,79,13,0,0,0,0,0,0,14,86,0,0,0,0,0
765,hsa-miR-3682-3p,22,39,31,38,117,110,12,26,11,0,13,0,0,0,0,0,0,11,0,0
766,hsa-miR-3682-5p,0,64,18,46,51,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0
767,hsa-miR-3683,57,122,165,176,125,199,28,38,0,24,0,0,0,0,10,0,0,10,0,0
768,hsa-miR-3684,15,34,24,26,59,71,0,12,0,11,0,0,0,0,0,0,0,10,0,0
769,hsa-miR-3685,36,74,65,88,150,195,15,18,11,0,11,0,0,0,13,0,0,42,0,0
770,hsa-miR-3686,0,19,15,19,43,46,11,0,0,0,0,0,0,16,13,0,0,16,0,0
771,hsa-miR-3687,19,36,36,56,76,90,11,0,14,0,0,0,0,0,0,0,0,364,0,0
772,hsa-miR-3688-3p,17,18,13,12,49,47,0,0,0,16,0,0,0,0,0,0,0,0,0,0
773,hsa-miR-3688-5p,0,0,26,19,81,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,hsa-miR-3689a-3p,0,0,0,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,hsa-miR-3689a-5p,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,hsa-miR-3689b-3p,18,28,20,95,54,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,hsa-miR-3689b-5p,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,hsa-miR-3689c,0,0,10,24,15,19,0,0,0,16,0,0,0,0,0,0,0,0,0,0
779,hsa-miR-3689d,10,10,0,24,63,46,0,22,10,0,0,0,0,0,0,0,0,24,0,0
780,hsa-miR-3689e,13,0,10,20,16,33,0,0,12,0,0,0,0,0,0,0,0,0,0,0
781,hsa-miR-3689f,0,18,10,19,41,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,hsa-miR-369-3p,24,65,35,35,62,76,0,19,0,0,0,584,1084,23,19,97,401,43,360,339
783,hsa-miR-369-5p,0,43,30,19,26,57,0,0,0,0,0,482,689,31,25,118,350,24,203,353
784,hsa-miR-3690,13,97,83,126,83,102,16,15,0,0,0,0,20,0,27,0,0,17,0,0
785,hsa-miR-3691-3p,47,318,218,250,303,419,13,20,0,0,0,0,0,0,17,0,0,18,0,10
786,hsa-miR-3691-5p,44,42,33,37,162,149,26,22,0,0,0,0,0,0,14,0,0,11,0,0
787,hsa-miR-3692-3p,20,55,85,65,133,168,0,11,0,0,0,0,0,0,0,0,0,15,11,19
788,hsa-miR-3692-5p,25,103,49,72,206,234,16,26,0,10,10,181,91,80,291,20,63,47,39,40
789,hsa-miR-370-3p,50,110,66,94,223,275,45,12,37,35,11,321,304,14,20,141,379,18,406,363
790,hsa-miR-370-5p,0,10,0,19,48,45,0,0,0,0,0,0,14,0,0,0,0,75,0,0
791,hsa-miR-3713,0,33,32,26,52,66,0,0,0,12,12,0,0,0,0,0,0,0,0,0
792,hsa-miR-3714,0,12,0,0,29,23,0,0,0,0,0,0,0,0,0,0,0,11,0,0
793,hsa-miR-371a-3p,0,32,24,38,62,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,hsa-miR-371a-5p,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,hsa-miR-371b-3p,0,19,10,15,103,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,hsa-miR-371b-5p,0,28,30,36,121,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,hsa-miR-372-3p,19,118,14,20,78,71,0,0,0,0,270,0,0,0,0,0,0,43,0,0
798,hsa-miR-372-5p,0,27,29,37,62,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0
799,hsa-miR-373-3p,34,72,42,56,84,82,10,17,0,0,0,0,0,0,0,0,0,0,0,11
800,hsa-miR-373-5p,0,28,19,39,33,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0
801,hsa-miR-374a-3p,22,31,37,47,68,109,22,37,16,0,10,532,1250,187,1451,360,319,96,223,457
802,hsa-miR-374a-5p,32,144,198,308,265,627,17,19,0,0,12,2291,8800,641,6178,897,953,941,867,1322
803,hsa-miR-374b-3p,26,38,48,52,43,37,11,0,0,0,0,102,209,34,195,52,58,23,50,75
804,hsa-miR-374b-5p,12,34,46,52,86,115,12,0,0,0,0,968,2400,261,1681,236,441,216,550,572
805,hsa-miR-374c-5p,0,0,0,0,67,35,0,19,0,0,0,0,10,0,0,0,0,0,0,0
806,hsa-miR-375,259,386,1121,734,667,781,282,77,765,646,1345,52972,8468,2425,657,5918,128005,8728,365751,168634
807,hsa-miR-376a-2-5p,0,13,22,15,34,30,0,0,0,0,0,13,22,0,0,0,0,0,11,22
808,hsa-miR-376a-3p,11,37,12,22,38,40,0,0,0,0,0,398,1549,32,33,110,254,16,630,693
809,hsa-miR-376a-5p,49,438,458,435,48,59,0,0,27,38,0,20,28,0,0,0,0,0,0,25
810,hsa-miR-376b-3p,11,11,11,0,28,24,0,10,0,0,45,133,415,22,17,57,124,12,307,442
811,hsa-miR-376b-5p,16,18,19,37,29,41,0,12,0,0,0,0,21,0,0,0,0,0,0,11
812,hsa-miR-376c-3p,11,37,34,39,56,86,13,0,0,0,0,561,2073,49,41,127,554,68,1038,850
813,hsa-miR-376c-5p,16,10,20,26,33,21,0,0,0,0,0,25,88,0,0,0,16,0,24,42
814,hsa-miR-377-3p,0,22,22,31,41,70,16,10,0,0,0,73,213,13,14,36,95,19,163,206
815,hsa-miR-377-5p,20,158,158,125,45,63,0,0,0,0,0,12,20,0,0,0,15,0,25,17
816,hsa-miR-378a-3p,85,295,322,467,458,671,113,25,75,153,156,3782,4033,2472,31119,2417,2824,6124,7630,4923
817,hsa-miR-378a-5p,0,66,69,79,60,104,12,14,0,24,24,100,160,91,1130,63,55,162,116,109
818,hsa-miR-378b,0,0,14,20,49,104,0,0,0,0,0,0,0,0,35,0,0,27,16,18
819,hsa-miR-378c,21,52,52,88,107,114,23,16,29,46,41,617,771,591,4288,550,662,941,1454,1374
820,hsa-miR-378d,0,58,46,56,97,130,20,21,0,11,28,66,112,59,481,81,88,120,188,188
821,hsa-miR-378e,0,0,0,16,32,46,0,0,0,0,0,10,12,0,62,10,17,20,26,17
822,hsa-miR-378f,0,15,19,25,73,52,0,0,0,0,0,0,10,0,84,11,11,17,38,24
823,hsa-miR-378g,0,14,18,10,51,36,12,0,0,0,0,27,24,21,96,25,17,29,42,16
824,hsa-miR-378h,11,47,41,52,33,54,10,12,0,0,0,0,0,0,54,0,11,10,24,13
825,hsa-miR-378i,12,99,30,39,144,179,25,29,15,0,0,19,20,17,150,29,29,32,68,48
826,hsa-miR-378j,0,19,16,23,60,48,0,0,0,0,17,0,0,0,18,0,0,15,10,0
827,hsa-miR-379-3p,0,10,18,14,30,31,0,0,0,0,0,0,22,0,0,0,11,0,12,0
828,hsa-miR-379-5p,31,163,159,200,156,169,26,26,37,32,18,2595,3257,187,191,1193,3723,133,3143,4022
829,hsa-miR-380-3p,0,34,14,13,43,56,0,0,13,0,43,0,0,0,0,0,0,0,0,0
830,hsa-miR-380-5p,0,20,19,51,93,81,0,0,0,0,0,10,15,0,0,0,0,0,0,15
831,hsa-miR-381-3p,10,59,31,45,49,129,17,0,0,0,0,1124,1733,65,78,447,2271,74,1668,1610
832,hsa-miR-381-5p,0,0,25,20,53,66,0,10,0,0,0,0,0,0,0,0,13,0,0,30
833,hsa-miR-382-3p,0,29,21,40,51,61,22,0,0,0,0,408,551,19,29,134,235,17,185,330
834,hsa-miR-382-5p,116,539,169,93,136,362,138,105,64,258,181,1982,2891,136,120,883,2240,71,2875,3424
835,hsa-miR-383-3p,91,292,345,363,122,106,13,14,20,0,16,0,0,0,16,0,0,35,0,0
836,hsa-miR-383-5p,0,60,17,21,48,69,16,13,0,0,0,0,0,0,10,0,123,20,55,74
837,hsa-miR-384,51,130,89,49,61,82,13,14,0,16,0,0,0,0,0,0,0,0,0,0
838,hsa-miR-3907,25,266,130,134,210,244,17,16,0,0,0,0,0,0,15,0,0,27,0,0
839,hsa-miR-3908,15,33,34,38,69,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
