"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"hsa-miR-149-3p",23.4715629487656,-3.78006506655119,2.33997236325248,-1.61543150077936,0.106217283133424,0.617352584116355,"Not Significant"
"hsa-miR-149-5p",205.984747276144,1.27393444090497,0.797537482312535,1.59733488288359,0.11019107908713,0.617352584116355,"Not Significant"
"hsa-miR-150-3p",20.7206607039162,-2.33073326029784,1.4515330254833,-1.60570460291236,0.108338829476591,0.617352584116355,"Not Significant"
"hsa-miR-150-5p",1267.59788880917,-0.418357024713541,0.775245198820704,-0.539644779935357,0.589442028468443,0.857274987304525,"Not Significant"
"hsa-miR-151a-3p",17078.5848595644,0.867076379478851,0.736282132045519,1.17764147972729,0.238939565963283,0.692102225731975,"Not Significant"
"hsa-miR-151b/151a-5p",724.975642535435,0.324751318979509,0.629770624471617,0.515666031981054,0.606087682822889,0.858542357839878,"Not Significant"
"hsa-miR-152-3p",9234.80224463282,0.801593379932431,0.693088932381988,1.15655198414082,0.247455449267824,0.698969959287521,"Not Significant"
"hsa-miR-152-5p",13.899295455734,-0.241087685970537,1.59653045929524,-0.151007257372942,0.879969990995674,0.953550612859262,"Not Significant"
"hsa-miR-153-3p",40.8964916684229,-0.3537098154731,0.804260758316042,-0.439794944383083,0.660085629603659,0.888326555580813,"Not Significant"
"hsa-miR-153-5p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1537-3p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1537-5p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1538",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1539",29.5268712060938,-1.27833083755773,1.26764723071588,-1.0084279021663,0.31324908354111,0.749538298732574,"Not Significant"
"hsa-miR-154-3p",7.77828271526324,-1.19610361519221,2.31644774456779,-0.516352513453904,0.605608225404977,NA,"Not Significant"
"hsa-miR-154-5p",179.454583873933,-1.29979418117025,1.27212535847405,-1.02175007558169,0.306899203855166,0.740966586103357,"Not Significant"
"hsa-miR-155-3p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-155-5p",21049.0698711457,0.840071755409395,0.863016328690277,0.973413511983368,0.330347826056114,0.764377814310663,"Not Significant"
"hsa-miR-1587",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-15a-3p",1.48839947654039,3.45619849119446,3.24661704687698,1.06455379285311,0.287077899320573,NA,"Not Significant"
"hsa-miR-15a-5p",1046.27354529505,0.370351760269705,0.707041381888583,0.523804928193108,0.600414225332521,0.857274987304525,"Not Significant"
"hsa-miR-15b-3p",175.522799686589,1.16506336094165,0.727921252283744,1.60053488929803,0.109479973431776,0.617352584116355,"Not Significant"
"hsa-miR-15b-5p",978.435089592627,1.12879989339198,0.750480781843342,1.50410233106756,0.132555020196359,0.630505158170444,"Not Significant"
"hsa-miR-16-1-3p",2.12738669042832,3.96556412648636,3.24049834643096,1.22375131925433,0.221046053602201,NA,"Not Significant"
"hsa-miR-16-2-3p",454.939289596064,0.104119565286425,0.624722316892171,0.16666535270325,0.867633368709093,0.949075800064765,"Not Significant"
"hsa-miR-16-5p",189255.614393231,0.213644043715235,0.683805157385059,0.312434092384199,0.754710644216236,0.911199842600678,"Not Significant"
"hsa-miR-17-3p",119.28611970946,0.563184996888062,0.679532000912808,0.828783627749012,0.407226854209239,0.782071233772868,"Not Significant"
"hsa-miR-17-5p",341.646865652026,0.649550708029183,0.687522448491712,0.944770180892521,0.3447762185529,0.774601744363973,"Not Significant"
"hsa-miR-181a-2-3p",1071.1888126463,0.419571967199578,0.640849972532095,0.654711687888175,0.51265339867388,0.846418319413558,"Not Significant"
"hsa-miR-181a-3p",687.741853748334,1.42221189252455,0.778411271376966,1.82707001404121,0.0676892431042155,0.505466610684201,"Not Significant"
"hsa-miR-181a-5p",23358.5205948162,1.07587185846541,0.706891602787411,1.52197572332596,0.128015163711267,0.630505158170444,"Not Significant"
"hsa-miR-181b-2-3p",15.2782507940409,0.514803836787559,1.50169837875967,0.342814405388625,0.731738088017627,0.901338655154872,"Not Significant"
"hsa-miR-181b-3p",46.2462585645523,2.06409014379007,1.139531778746,1.81134934741486,0.0700867914442975,0.505821523435964,"Not Significant"
"hsa-miR-181b-5p",7032.82533563845,1.29954226890058,0.658160991158993,1.97450515353719,0.048324332027803,0.449313470130849,"Not Significant"
"hsa-miR-181c-3p",165.144399729367,0.612427888637709,0.703870794360801,0.870085665642467,0.384253590632516,0.782071233772868,"Not Significant"
"hsa-miR-181c-5p",357.959149119572,0.298159212296015,0.824698435708943,0.361537259422235,0.717697856856262,0.901338655154872,"Not Significant"
"hsa-miR-181d-3p",13.9389640026955,-2.10328368605386,2.55240403561116,-0.824040260361928,0.409916682346797,0.782242751901966,"Not Significant"
"hsa-miR-181d-5p",595.504651368436,1.03048678012142,0.737672079412244,1.39694426409969,0.162430332333947,0.672389750526768,"Not Significant"
